c1,c1lat,c1long,c2,c2lat,c2long,route,count,,Unique,ulat,ulong,counta,countb,sum
Sao Paulo,-23.55867959,-46.62501998,Zurich,47.37998781,8.55001013,Sao Paulo to Zurich,1,,Kathmandu,27.71669191,85.31664221,1,0,1
Bukavu,-2.509990215,28.8400378,Singapore,1.293033466,103.8558207,Bukavu to Singapore,1,,Astana,51.1811253,71.42777421,1,0,1
Karachi,24.86999229,66.99000891,Muscat,23.61332481,58.59331213,Karachi to Muscat,1,,Kuwait City,29.36971763,47.97830115,1,1,2
Brasilia,-15.78334023,-47.91605229,Fortaleza,-3.750017884,-38.57998132,Brasilia to Fortaleza,1,,Rio de Janeiro,-22.92502317,-43.22502079,1,0,1
Moscow,55.75216412,37.61552283,Damascus,33.500034,36.29999589,Moscow to Damascus,1,,Kingston,-42.99113686,147.3084139,1,0,1
Petropavlovsk Kamchatskiy,53.06199241,158.6230204,Moscow,55.75216412,37.61552283,Petropavlovsk Kamchatskiy to Moscow,1,,Amman,31.95002525,35.93329993,1,0,1
Kathmandu,27.71669191,85.31664221,Doha,25.28655601,51.53296789,Kathmandu to Doha,1,,Caracas,10.50099855,-66.91703719,3,0,3
Astana,51.1811253,71.42777421,Dubai,25.22999615,55.27997432,Astana to Dubai,1,,Manaus,-3.100031719,-60.00001754,1,1,2
Kuwait City,29.36971763,47.97830115,Dubai,25.22999615,55.27997432,Kuwait City to Dubai,1,,Los Angeles,-37.46000161,-72.35998661,1,2,3
Rio de Janeiro,-22.92502317,-43.22502079,Belem,-1.450003236,-48.48002303,Rio de Janeiro to Belem,1,,Bishkek,42.87307945,74.58520422,1,0,1
Jakarta,-6.174417705,106.8294376,Manama,26.23613629,50.58305172,Jakarta to Manama,1,,Rabat,34.02529909,-6.83613082,1,1,2
Jakarta,-6.174417705,106.8294376,Amsterdam,52.34996869,4.916640176,Jakarta to Amsterdam,1,,Santa Cruz de Tenerife,28.46997927,-16.25000065,2,0,2
Kingston,-42.99113686,147.3084139,Vienna,48.20001528,16.36663896,Kingston to Vienna,1,,Fortaleza,-3.750017884,-38.57998132,1,2,3
Brasilia,-15.78334023,-47.91605229,Recife,-8.075645326,-34.91560551,Brasilia to Recife,1,,Taipei,25.03583333,121.5683333,1,1,2
Amman,31.95002525,35.93329993,Dubai,25.22999615,55.27997432,Amman to Dubai,1,,Guangzhou,23.1449813,113.3250101,2,1,3
Caracas,10.50099855,-66.91703719,Boa Vista,2.816092955,-60.66599756,Caracas to Boa Vista,1,,Bamako,12.65001467,-8.000039105,1,0,1
Manaus,-3.100031719,-60.00001754,Fortaleza,-3.750017884,-38.57998132,Manaus to Fortaleza,1,,Prague,50.08333701,14.46597978,1,0,1
Los Angeles,-37.46000161,-72.35998661,Guangzhou,23.1449813,113.3250101,Los Angeles to Guangzhou,1,,Rome,41.89595563,12.48325842,2,1,3
Bishkek,42.87307945,74.58520422,Dubai,25.22999615,55.27997432,Bishkek to Dubai,1,,Anadyr,64.73699038,177.4749963,1,0,1
Rabat,34.02529909,-6.83613082,Brussels,50.83331708,4.333316608,Rabat to Brussels,1,,Novosibirsk,55.02996014,82.96004187,1,0,1
Santa Cruz de Tenerife,28.46997927,-16.25000065,Madrid,40.40002626,-3.683351686,Santa Cruz de Tenerife to Madrid,1,,Pretoria,-25.70692055,28.22942908,1,0,1
Brussels,50.83331708,4.333316608,Rabat,34.02529909,-6.83613082,Brussels to Rabat,1,,Buenos Aires,-34.60250161,-58.39753137,2,0,2
Fortaleza,-3.750017884,-38.57998132,Belem,-1.450003236,-48.48002303,Fortaleza to Belem,1,,Amsterdam,52.34996869,4.916640176,1,2,3
Hanoi,21.03332725,105.8500142,Taoyuan City,24.98888889,121.3111111,Hanoi to Taoyuan City,1,,Darwin,-12.42535398,130.8500386,1,0,1
Taipei,25.03583333,121.5683333,Los Angeles,-37.46000161,-72.35998661,Taipei to Los Angeles,1,,Paramaribo,5.83503013,-55.16703089,1,0,1
Guangzhou,23.1449813,113.3250101,Taoyuan City,24.98888889,121.3111111,Guangzhou to Taoyuan City,1,,Kindu,-2.963915996,25.90998409,1,0,1
Bamako,12.65001467,-8.000039105,Dubai,25.22999615,55.27997432,Bamako to Dubai,1,,Nairobi,-1.283346742,36.81665686,1,0,1
Prague,50.08333701,14.46597978,Dubai,25.22999615,55.27997432,Prague to Dubai,1,,Lima,-12.04801268,-77.05006209,1,0,1
Rome,41.89595563,12.48325842,Dubai,25.22999615,55.27997432,Rome to Dubai,1,,Ankara,39.92723859,32.86439164,1,0,1
Anadyr,64.73699038,177.4749963,Moscow,55.75216412,37.61552283,Anadyr to Moscow,1,,Lisbon,38.72272288,-9.144866305,1,0,1
Caracas,10.50099855,-66.91703719,Madrid,40.40002626,-3.683351686,Caracas to Madrid,1,,Toluca,19.3303821,-99.66999923,1,0,1
Karachi,24.86999229,66.99000891,Manama,26.23613629,50.58305172,Karachi to Manama,1,,Maiquetia,10.60039817,-66.9699797,1,0,1
Novosibirsk,55.02996014,82.96004187,Vladivostok,43.13001467,131.9100256,Novosibirsk to Vladivostok,1,,Shymkent,42.32001243,69.59501786,1,0,1
Jakarta,-6.174417705,106.8294376,Hong Kong,22.3049809,114.1850093,Jakarta to Hong Kong,1,,Reynosa,26.07999595,-98.30003117,1,0,1
Pretoria,-25.70692055,28.22942908,Dhaka,23.72305971,90.40857947,Pretoria to Dhaka,1,,Santiago,-33.45001382,-70.66704085,1,0,1
Denpasar,-8.650028871,115.2199849,Vienna,48.20001528,16.36663896,Denpasar to Vienna,1,,Manila,14.60415895,120.9822172,1,0,1
Buenos Aires,-34.60250161,-58.39753137,Milan,45.4699752,9.20500891,Buenos Aires to Milan,1,,Bangkok,13.74999921,100.5166447,1,0,1
Amsterdam,52.34996869,4.916640176,Tel Aviv,32.07999147,34.77001176,Amsterdam to Tel Aviv,1,,Addis Ababa,9.033310363,38.70000443,2,1,3
Darwin,-12.42535398,130.8500386,Jakarta,-6.174417705,106.8294376,Darwin to Jakarta,1,,Dhaka,23.72305971,90.40857947,1,2,3
Paramaribo,5.83503013,-55.16703089,Amsterdam,52.34996869,4.916640176,Paramaribo to Amsterdam,1,,Vienna,48.20001528,16.36663896,1,2,3
Kindu,-2.963915996,25.90998409,Bukavu,-2.509990215,28.8400378,Kindu to Bukavu,1,,Boa Vista,2.816092955,-60.66599756,1,1,2
Nairobi,-1.283346742,36.81665686,London,51.49999473,-0.116721844,Nairobi to London,1,,Paris,48.86669293,2.333335326,1,4,5
Brasilia,-15.78334023,-47.91605229,Joao Pessoa,-7.10113513,-34.87607117,Brasilia to Joao Pessoa,1,,Milan,45.4699752,9.20500891,1,2,3
Lima,-12.04801268,-77.05006209,Sao Paulo,-23.55867959,-46.62501998,Lima to Sao Paulo,1,,London,51.49999473,-0.116721844,1,2,3
Caracas,10.50099855,-66.91703719,Paris,48.86669293,2.333335326,Caracas to Paris,1,,Madrid,40.40002626,-3.683351686,1,4,5
Karachi,24.86999229,66.99000891,Peshawar,34.00501609,71.53500281,Karachi to Peshawar,1,,New York,40.74997906,-73.98001693,0,6,6
Dubai,25.22999615,55.27997432,Sydney,-33.92001097,151.1851798,Dubai to Sydney,1,,Abu Dhabi,24.46668357,54.36659338,0,4,4
Jakarta,-6.174417705,106.8294376,Paris,48.86669293,2.333335326,Jakarta to Paris,1,,Miami,25.7876107,-80.22410608,0,5,5
Guangzhou,23.1449813,113.3250101,Singapore,1.293033466,103.8558207,Guangzhou to Singapore,1,,Riyadh,24.64083315,46.77274166,0,2,2
Ankara,39.92723859,32.86439164,London,51.49999473,-0.116721844,Ankara to London,1,,Tripoli,32.89250002,13.18001176,0,2,2
Lisbon,38.72272288,-9.144866305,Sao Paulo,-23.55867959,-46.62501998,Lisbon to Sao Paulo,1,,Vladivostok,43.13001467,131.9100256,0,3,3
Ho Chi Minh City,10.78002545,106.6950272,Ho Chi Minh City,10.78002545,106.6950272,Ho Chi Minh City to Ho Chi Minh City,1,,Manchester,53.50041526,-2.247987103,0,2,2
Moscow,55.75216412,37.61552283,Yerevan,40.18115074,44.51355139,Moscow to Yerevan,1,,Leeds,53.83000755,-1.580017539,0,2,2
Toluca,19.3303821,-99.66999923,Hermosillo,29.09888145,-110.954065,Toluca to Hermosillo,1,,Tel Aviv,32.07999147,34.77001176,0,3,3
Karachi,24.86999229,66.99000891,Dubai,25.22999615,55.27997432,Karachi to Dubai,1,,"Washington, D.C.",38.89954938,-77.00941858,0,2,2
Santa Cruz de Tenerife,28.46997927,-16.25000065,Milan,45.4699752,9.20500891,Santa Cruz de Tenerife to Milan,1,,Singapore,1.293033466,103.8558207,0,4,4
Brasilia,-15.78334023,-47.91605229,Miami,25.7876107,-80.22410608,Brasilia to Miami,1,,Melbourne,-37.82003131,144.9750162,0,1,1
Maiquetia,10.60039817,-66.9699797,Madrid,40.40002626,-3.683351686,Maiquetia to Madrid,1,,Canberra,-35.28302855,149.1290262,0,1,1
Shymkent,42.32001243,69.59501786,Dubai,25.22999615,55.27997432,Shymkent to Dubai,1,,Delhi,28.6699929,77.23000403,0,1,1
Reynosa,26.07999595,-98.30003117,Mexico City,19.44244244,-99.1309882,Reynosa to Mexico City,1,,Nassau,25.08339012,-77.35004378,0,1,1
Santiago,-33.45001382,-70.66704085,Sao Paulo,-23.55867959,-46.62501998,Santiago to Sao Paulo,1,,Sofia,42.68334943,23.31665401,0,1,1
Rome,41.89595563,12.48325842,Sao Paulo,-23.55867959,-46.62501998,Rome to Sao Paulo,1,,Zurich,47.37998781,8.55001013,0,1,1
Dubai,25.22999615,55.27997432,Karachi,24.86999229,66.99000891,Dubai to Karachi,1,,Muscat,23.61332481,58.59331213,0,1,1
Manila,14.60415895,120.9822172,Tokyo,35.68501691,139.7514074,Manila to Tokyo,1,,Damascus,33.500034,36.29999589,0,1,1
Hanoi,21.03332725,105.8500142,Dallas,32.82002382,-96.84001693,Hanoi to Dallas,1,,Belem,-1.450003236,-48.48002303,0,2,2
Ho Chi Minh City,10.78002545,106.6950272,Taipei,25.03583333,121.5683333,Ho Chi Minh City to Taipei,1,,Recife,-8.075645326,-34.91560551,0,1,1
Bangkok,13.74999921,100.5166447,Male,4.16670819,73.49994747,Bangkok to Male,1,,Taoyuan City,24.98888889,121.3111111,0,2,2
Georgetown,6.801973693,-58.16702865,Toronto,43.69997988,-79.42002079,Georgetown to Toronto,1,,Hong Kong,22.3049809,114.1850093,0,1,1
Buenos Aires,-34.60250161,-58.39753137,Madrid,40.40002626,-3.683351686,Buenos Aires to Madrid,1,,Joao Pessoa,-7.10113513,-34.87607117,0,1,1
Addis Ababa,9.033310363,38.70000443,Kuwait City,29.36971763,47.97830115,Addis Ababa to Kuwait City,1,,Peshawar,34.00501609,71.53500281,0,1,1
Dhaka,23.72305971,90.40857947,Islamabad,33.69999595,73.16663448,Dhaka to Islamabad,1,,Sydney,-33.92001097,151.1851798,0,1,1
Vienna,48.20001528,16.36663896,Bratislava,48.15001833,17.11698075,Vienna to Bratislava,1,,Yerevan,40.18115074,44.51355139,0,1,1
Boa Vista,2.816092955,-60.66599756,Sao Paulo,-23.55867959,-46.62501998,Boa Vista to Sao Paulo,1,,Hermosillo,29.09888145,-110.954065,0,1,1
Paris,48.86669293,2.333335326,Munich,48.12994204,11.57499345,Paris to Munich,1,,Tokyo,35.68501691,139.7514074,0,1,1
Milan,45.4699752,9.20500891,Valletta,35.89973248,14.51471065,Milan to Valletta,1,,Dallas,32.82002382,-96.84001693,0,1,1
London,51.49999473,-0.116721844,Phoenix,33.53997988,-112.0699917,London to Phoenix,1,,Male,4.16670819,73.49994747,0,1,1
Ho Chi Minh City,10.78002545,106.6950272,Hanoi,21.03332725,105.8500142,Ho Chi Minh City to Hanoi,1,,Toronto,43.69997988,-79.42002079,0,1,1
Madrid,40.40002626,-3.683351686,Rome,41.89595563,12.48325842,Madrid to Rome,1,,Bratislava,48.15001833,17.11698075,0,1,1
Sao Paulo,-23.55867959,-46.62501998,Dubai,25.22999615,55.27997432,Sao Paulo to Dubai,1,,Munich,48.12994204,11.57499345,0,1,1
Addis Ababa,9.033310363,38.70000443,Manama,26.23613629,50.58305172,Addis Ababa to Manama,1,,Valletta,35.89973248,14.51471065,0,1,1
Sao Paulo,-23.55867959,-46.62501998,Manaus,-3.100031719,-60.00001754,Sao Paulo to Manaus,1,,Phoenix,33.53997988,-112.0699917,0,1,1
