ID,Year,Date ,Database,Location ,"City, Country",Origin,Transit,Destination,Weight (kg) ,Number,Airline ,Mode of Transport,Method of Detection,Obfuscation Method,Species
27,2010,6-Nov-10,Birds,Brasilia Airport,"Brasilia, Brazil","Brasilia, Brazil",,"Fortaleza, Brazil",,232,Gol Transportes Aereos,Luggage,,,Saffron Finches; Double-collared seedeaters
28,2010,22-Nov-10,Birds,Sheremetyevo Airport,"Moscow, Russia",,"Moscow, Russia","Damascus, Syria",,8,,Luggage,,Boxes embeddded in luggage,Gyrfalcons
29,2010,3-Dec-10,Birds,Petropavlovsk Kamchatskiy Airport,"Petropavlovsk Kamchatskiy, Russia","Petropavlovsk Kamchatskiy, Russia",,"Moscow, Russia",,8,Transaero,Luggage,,,Merlins
30,2010,7-Dec-10,Birds,Tribhuvan Airport,"Kathmandu, Nepal","Kathmandu, Nepal",,"Doha, Qatar",,10,Qatar Airways,Luggage,,,Falcons
31,2011,1-Jan-11,Birds,Dubai Airport,"Dubai, UAE",Kazakhstan,,"Dubai, UAE",,2,,Unknown,,,Gyrfalcons
32,2011,1-Jan-11,Birds,Dubai Airport,"Dubai, UAE",Kuwait,,"Dubai, UAE",,1,,Unknown,,,Falcons
33,2011,3-Jan-11,Birds,Val de Cans Airport,"Belem, Brazil","Rio de Janeiro, Brazil",,"Belem, Brazil",,2,Gol Transportes Aereos,Airfreight,,,Parakeets
34,2011,1-Jan-11,Birds,Soekarno-Hatta Airport,"Jakarta, Indonesia","Jakarta, Indonesia",,Bahrain,,14,,Luggage,X-ray,Boxes in luggage,Black-throated laughing thrushes
35,2011,7-Jan-11,Birds,Soekarno-Hatta Airport,"Jakarta, Indonesia","Jakarta, Indonesia",,Netherlands,,,,Unknown,,,Helmeted hornbills
36,2011,13-Jan-11,Birds,Soekarno-Hatta Airport,"Jakarta, Indonesia","Jakarta, Indonesia",,Saudi Arabia,,2,,Luggage,,,Birds; Hill Mynahs
37,2011,19-Jan-11,Birds,Ben Gurion Airport,"Tel Aviv, Israel","Brussels, Belgium",,"Tel Aviv, Israel",,8,,Passenger Clothing/Items,,,Red Siskins
38,2011,31-Jan-11,Birds,Soekarno-Hatta Airport,"Jakarta, Indonesia","Jakarta, Indonesia",,,,2,,Luggage,,,Bali Mynas
39,2011,11-Feb-11,Birds,Suvarnabhumi Airport,"Bangkok, Thailand","Bangkok, Thailand",,,,,,Luggage,X-ray,,Grey Parrots
40,2011,1-Apr-11,Birds,Vienna Airport,"Vienna, Austria",Jamaica,"Vienna, Austria",Slovakia,,74,,Luggage,,,Black Billed Amazon eggs; Yellow Billed Amazon Eggs
41,2011,17-Apr-11,Birds,Recife/Guararapes–Gilberto Freyre Airport,"Recife, Brazil","Brasilia, Brazil",,"Recife, Brazil",,179,,Unknown,,,Saffron Finches
42,2011,1-Jun-11,Birds,Dubai Airport,"Dubai, UAE",Jordan,,"Dubai, UAE",,1,,Unknown,,,Grey Parrots
43,2011,24-Jun-11,Birds,Eduardo Gomes Airport,"Manaus, Brazil",Venezuela,"Boa Vista, Brazil; Sao Paulo, Brazil","Manaus, Brazil",,270,,Luggage,,,Saffron Finches; Great-billed Seed Finches; Hooded Siskins; Nightengales; 
44,2011,1-Aug-11,Birds,Dubai Airport,"Dubai, UAE",Belgium,,"Dubai, UAE",,2,,Unknown,,,Galahs
45,2011,1-Aug-11,Birds,Dubai Airport,"Dubai, UAE",Belgium,,"Dubai, UAE",,35,,Unknown,,,Java Sparrows
46,2011,22-Aug-11,Birds,Pinto Martins – Fortaleza Airport,"Fortaleza, Brazil","Manaus, Brazil",,"Fortaleza, Brazil",,221,,Luggage,,,Canaries; Lesser Goldfinches;  Goldfinches
47,2011,24-Aug-11,Birds,Los Angeles Airport,"Los Angeles, USA","Los Angeles, USA",,"Guangzhou, China",,2,China Southern Airlines,Passenger Clothing/Items,,,Birds
48,2011,1-Sep-11,Birds,Cheddi Jagan Airport,"Georgetown, Guyana","Georgetown, Guyana",,,,35,,Unknown,,,Finches
49,2011,28-Sep-11,Birds,Brasilia Airport,"Brasilia, Brazil","Brasilia, Brazil",,,,300,,Unknown,,,Saffron Finches
50,2011,2-Oct-11,Birds,Cayenne – Felix Eboue Airport,"Cayenne, French Guiana","Cayenne, French Guiana",,,,12,,Passenger Clothing/Items,,,Hummingbirds
51,2011,1-Nov-11,Birds,Dubai Airport,"Dubai, UAE",,,"Dubai, UAE",,1,,Unknown,,,Falcons
52,2011,21-Nov-11,Birds,Manas Airport,"Bishkek, Kyrgyzstan","Bishkek, Kyrgyzstan",,"Dubai, UAE",,4,,Luggage,X-ray,,Saker Falcons
53,2011,1-Dec-11,Birds,Dubai Airport,"Dubai, UAE",,,"Dubai, UAE",,1,,Unknown,,,Falcons
54,2011,8-Dec-11,Birds,Manchester Airport,"Manchester, United Kingdom",Pakistan,,"Manchester, United Kingdom",,3,,Luggage,,,Partridges
55,2011,13-Dec-11,Birds,Charles de Gaulle Airport,"Paris, France",Mexico,,"Paris, France",,100,,Unknown,,,Birds; Cardinals; Goldfinches
56,2012,1-Jan-12,Birds,Abu Dhabi Airport,"Abu Dhabi, UAE",Qatar,,"Abu Dhabi, UAE",,1,,Unknown,,,Falcons
57,2012,1-Jan-12,Birds,Abu Dhabi Airport,"Abu Dhabi, UAE",Qatar,,"Abu Dhabi, UAE",,2,,Unknown,,,Houbara Bustards
58,2012,15-Jan-12,Birds,Tijuana Airport,"Tijuana, Mexico",,,"Tijuana, Mexico",,20,,Unknown,,,Toucans; hawks
59,2012,17-Jan-12,Birds,Brussels Airport,"Brussels, Belgium",Morocco,,"Brussels, Belgium",,15,,Luggage,,,Senegal Parrots
60,2012,23-Jan-12,Birds,Tenerife Sur Airport,"Tenerife, Spain","Tenerife, Spain",,"Madrid, Spain",,30,,Luggage,Scanner,,Atlantic Canaries
61,2012,28-Feb-12,Birds,Malta Airport,"Luqa, Malta","Luqa, Malta",,Libya,,35,,Luggage,X-ray,,Chickens; Canaries; Budgerigars
62,2012,28-Feb-12,Birds,Brussels Airport,"Brussels, Belgium","Brussels, Belgium",,Morocco,,67,undisclosed Moroccan company,Luggage,Papers were used previously,,King parrots; Green winged macaws; Birds
63,2012,1-Mar-12,Birds,Val de Cans Airport,"Belem, Brazil","Fortaleza, Brazil",,"Belem, Brazil",,80,Gol Transportes Aereos,Airfreight,,,Budgerigarw
64,2012,22-Mar-12,Birds,Taiwan Taoyuan Airport,"Taoyuan City, Taiwan ",Vietnam,,"Taoyuan City, Taiwan ",,67,,Passenger Clothing/Items,,,Japanese White Eyes
65,2012,7-Apr-12,Birds,Cheddi Jagan Airport,"Georgetown, Guyana","Georgetown, Guyana",,,,35,,Luggage,,,Finches
66,2012,1-May-12,Birds,Dubai Airport,"Dubai, UAE",Russia,,"Dubai, UAE",,1,,Unknown,,,White cockatoos
67,2012,1-May-12,Birds,Dubai Airport,"Dubai, UAE",Bahrain,,"Dubai, UAE",,1,,Unknown,,,African Grey Parrotw
68,2012,1-Jun-12,Birds,JFK Airport,"New York, USA",Guyana,,"New York, USA",,9,Easy Jet,Passenger Clothing/Items,,,Finches
69,2012,3-Jun-12,Birds,Los Angeles Airport,"Los Angeles, USA","Taipei, Taiwan",,"Los Angeles, USA",,1,China Airlines,Unknown,Bird got loose in passenger cabin,,Songbirds
70,2012,7-Jul-12,Birds,Taiwan Taoyuan Airport,"Taoyuan City, Taiwan ","Guangzhou, China",,"Taoyuan City, Taiwan ",,38,,Luggage,,,Birds
71,2012,1-Jul-12,Birds,Dubai Airport,"Dubai, UAE",Mali,,"Dubai, UAE",,4,,Unknown,,,African Grey Parrots
72,2012,1-Jul-12,Birds,Dubai Airport,"Dubai, UAE",Czech Republic,,"Dubai, UAE",,2,,Unknown,,,Yellow-Collared Lovebirds
73,2012,1-Jul-12,Birds,Dubai Airport,"Dubai, UAE",Italy,,"Dubai, UAE",,41,,Unknown,,,Java Sparrows
74,2012,29-Aug-12,Birds,Chhatrapati Shivaji Airport,"Mumbai, India","Bangkok, Thailand",,,,11,Thai Airways,Passenger Clothing/Items,Airport security,Concealed in underwear,Bird eggs
75,2012,1-Sep-12,Birds,Cairo Airport,"Cairo, Egypt",,,,,17,,Unknown,,,Falcons
76,2012,1-Sep-12,Birds,Dubai Airport,"Dubai, UAE",Bahrain,,"Dubai, UAE",,3,,Unknown,,,Yellow-Collared Lovebirds
77,2012,1-Sep-12,Birds,Dubai Airport,"Dubai, UAE",Bahrain,,"Dubai, UAE",,58,,Unknown,,,Java Sparrows
78,2012,3-Sep-12,Birds,Cheddi Jagan Airport,"Georgetown, Guyana","Georgetown, Guyana",,"New York, USA",,,,Passenger Clothing/Items,,,Chesnut-bellied Seed finches
79,2012,16-Oct-12,Birds,Ugolny Airport,"Anadyr, Russia","Anadyr, Russia",,"Moscow, Russia",,4,,Luggage,,,Gyrfalcons; Goshawks
80,2012,17-Oct-12,Birds,Madrid Barajas Airport,"Madrid, Spain","Caracas, Venezuela",,"Madrid, Spain",,85,Air Europa,Luggage,,,Hummingbirds; Jays; Hooded red siskins; Cardinals; Saffron Finches; Parakeets
81,2012,20-Oct-12,Birds,Miami Airport,"Miami, USA",Cuba,,"Miami, USA",,16,,Passenger Clothing/Items,,,Cuban Bullfinches
82,2012,4-Nov-12,Birds,Faisalabad Airport,"Faisalabad, Pakistan","Faisalabad, Pakistan",,,,300,,Unknown,,,Falcons; Birds
83,2012,25-Nov-12,Birds,Jinnah Airport,"Karachi, Pakistan","Karachi, Pakistan",,Bahrain,,7,,Unknown,,,Falcons
84,2012,26-Nov-12,Birds,Amsterdam Airport Schiphol,"Amsterdam, Netherlands",Mexico,,,,42,,Luggage,,in small boxes hidden in his suitcase,west bluebirds; Bullfinches
85,2012,1-Dec-12,Birds,Abu Dhabi Airport,"Abu Dhabi, UAE",Qatar,,"Abu Dhabi, UAE",,1,,Unknown,,,Falcon
86,2012,1-Dec-12,Birds,Abu Dhabi Airport,"Abu Dhabi, UAE",Qatar,,"Abu Dhabi, UAE",,1,,Unknown,,,Falcon
87,2012,1-Dec-12,Birds,Vladivostok Airport,"Vladivostok, Russia","Petropavlovsk Kamchatskiy, Russia",,"Vladivostok, Russia",,8,,Luggage,,,Gyrfalcons
88,2012,1-Dec-12,Birds,Vladivostok Airport,"Vladivostok, Russia","Novosibirsk, Russia",,"Vladivostok, Russia",,6,,Luggage,,,Gyrfalcons
89,2013,3-Jan-13,Birds,Soekarno-Hatta Airport,"Jakarta, Indonesia","Jakarta, Indonesia",,"Hong Kong, China",,248,,Luggage,,,Hornbill beaks
90,2013,3-Jan-13,Birds,Shahjalal Airport,"Dhaka, Bangladesh",South Africa,,"Dhaka, Bangladesh",,160,Qatar Airways,Luggage,,,Birds; African grey parrots; budgerigaries; rainbow lorikeets; golden mantled rosellas; green parakeets
91,2013,27-Feb-13,Birds,Charles de Gaulle Airport,"Paris, France","Mexico City, Mexico","Paris, France","Munich, Germany",,62,,Luggage,,,birds
92,2013,19-Mar-13,Birds,Suvarnabhumi Airport,"Bangkok, Thailand",,"Bangkok, Thailand",,,15,,Unknown,,,Parrots
93,2013,1-Apr-13,Birds,Manchester Airport,"Manchester, United Kingdom",Pakistan,,"Manchester, United Kingdom",,17,,Luggage,,,Patridges
94,2013,4-May-13,Birds,Leeds Bradford Airport,"Leeds, United Kingdom","Islamabad, Pakistan",,"Leeds, United Kingdom",,4,,Luggage,X-ray,,Grey Francolins
95,2013,11-May-13,Birds,Leeds Bradford Airport,"Leeds, United Kingdom","Islamabad, Pakistan",,"Leeds, United Kingdom",,5,,Luggage,X-ray,,Grey Francolins
96,2013,11-Jun-13,Birds,Vienna Airport,"Vienna, Austria","Denpasar, Indonesia",,"Vienna, Austria",,60,,Unknown,Detector Dog,,Parrots; Birds of Paradise
97,2013,14-Jun-13,Birds,Milan Linate Airport,"Milan, Italy",Argentina,"Milan, Italy",Malta,,180,,Luggage,,,Wattled Jacanas; Silver Teals; Nacunda Nighthawks; Whistling Herons
98,2013,24-Nov-13,Birds,Ben Gurion Airport,"Tel Aviv, Israel",Netherlands,,"Tel Aviv, Israel",,40,,Luggage,,,Zebra Finches
99,2013,28-Nov-13,Birds,Darwin Airport,"Darwin, Australia","Darwin, Australia",,Indonesia,,7,Indonesian Army,Luggage,,,Galahs; Parrots
100,2013,10-Dec-13,Birds,Amsterdam Airport Schiphol,"Amsterdam, Netherlands",Suriname,,"Amsterdam, Netherlands",,6,,Luggage,,,Thick-billed seed finches; Chestnut-bellied seed finches; Picolets
101,2014,8-Jan-14,Birds,Kindu Airport,"Kindu, DR Congo","Kindu, DR Congo",,"Bukavu, DR Congo",,27,African Aviation Company (CAA); cargo plane,Airfreight,,,parrots
102,2014,20-Jan-14,Birds,Cheddi Jagan Airport,"Georgetown, Guyana","Georgetown, Guyana",,,,,Carribean Airlines,Unknown,,,Towa Towas
103,2014,27-Jan-14,Birds,Phoenix Sky Harbor Airport,"Phoenix, USA","Nairobi, Kenya","London, United Kingdom","Phoenix, USA",,103,,Luggage,,,Bird eggs
104,2014,28-Jan-14,Birds,Brasilia Airport,"Brasilia, Brazil","Brasilia, Brazil",,"Joao Pessoa, Brazil",,390,,Luggage,,,Saffron Finches
105,2014,1-Feb-14,Birds,Sao Paulo–Guarulhos Airport,"Sao Paulo, Brazil",Peru,,"Sao Paulo, Brazil",,50,,Luggage,,,Finches
106,2014,24-Feb-14,Birds,Ben Gurion Airport,"Tel Aviv, Israel",Belgium,,"Tel Aviv, Israel",,34,,Luggage,,,Parrots
107,2014,27-Apr-14,Birds,Ignacio Agramonte Airport,"Camaguey, Cuba","Camaguey, Cuba",,USA,,66,,Passenger Clothing/Items,"Attracted attention of customs with ""the very wide trouser legs""",,Breakfast sporophiles singers
108,2014,2-May-14,Birds,Simon Bolivar Airport,"Caracas, Venezuela","Caracas, Venezuela",,France,,103,,Luggage,,,Tropical Birds
109,2014,10-Apr-14,Birds,Changi Airport,Singapore,"Ho Chi Minh City, Vietnam",,Singapore,,9,,Luggage,,,Melodious Laughing Thrushes; White rumped shamas
110,2014,15-May-14,Birds,Bacha Khan Airport,"Peshawar, Pakistan","Karachi, Pakistan",,"Peshawar, Pakistan",,32,,Unknown,,,Parrots
111,2014,16-May-14,Birds,Ignacio Agramonte Airport,"Camaguey, Cuba","Camaguey, Cuba",,USA,,66,,Passenger Clothing/Items,Visible bulge,Pouches sewn into pants,Humming birds; Finches
112,2014,20-May-14,Birds,Sydney Airport,"Sydney, Australia",,"Dubai, UAE","Sydney, Australia",,16,,Passenger Clothing/Items,,,Bird eggs
113,2014,2-Jun-14,Birds,Simon Bolivar Airport,"Caracas, Venezuela",,,"Munich, Germany",,103,,Unknown,,,Birds
114,2014,9-Jun-14,Birds,Soekarno-Hatta Airport,"Jakarta, Indonesia","Jakarta, Indonesia",,"Paris, France",,16,,Luggage,,,Birds-of-paradise
115,2014,10-Jun-14,Birds,Guangzhou Baiyun Airport,"Guangzhou, China","Guangzhou, China",,Singapore,,2,,Passenger Clothing/Items,Visible bulge,,Birds
116,2014,1-Jul-14,Birds,Heathrow Airport,"London, United Kingdom",Turkey,,"London, United Kingdom",,1,,Luggage,,,Parrots
117,2014,13-Jul-14,Birds,Sao Paulo–Guarulhos Airport,"Sao Paulo, Brazil",Portugal,,"Sao Paulo, Brazil",,2,,Luggage,X-ray,,White cockatoos
118,2014,8-Sep-14,Birds,Tan Son Nhat Airport,"Ho Chi Minh City, Vietnam","Ho Chi Minh City, Vietnam",,"Hanoi, Vietnam",,870,,Airfreight,,,Parrots; Hill Mynahs; Spotted Doves
119,2014,1-Oct-14,Birds,Domodedovo Airport,"Moscow, Russia","Moscow, Russia",,Armenia,,5,,Luggage,,,Saker Falcons
120,2014,10-Oct-14,Birds,Toronto Pearson Airport,"Toronto, Canada",,,"Toronto, Canada",,19,,Passenger Clothing/Items,,,Birds
121,2014,13-Oct-14,Birds,Hermosillo Airport,"Hermosillo, Mexico","Toluca, Mexico",,"Hermosillo, Mexico",,2,,Airfreight,,,Keel-billed toucans
122,2014,12-Nov-14,Birds,Changi Airport,Singapore,"Ho Chi Minh City, Vietnam",,Singapore,,12,,Luggage,,,White-rumped shamas; Red-whiskered Bulbus; Magpie Robins
123,2014,12-Nov-14,Birds,Jinnah Airport,"Karachi, Pakistan","Karachi, Pakistan",,"Dubai, UAE",,5,Emirates Airlines,Airfreight,,,Saker Falcons; Peregrinne Falcons
124,2014,15-Dec-14,Birds,Tenerife Sur Airport,"Tenerife, Spain","Tenerife, Spain",,"Milan, Italy",,21,,Luggage,,,Blue Chaffinches
125,2015,14-Jan-15,Birds,Bremen Airport,"Bremen, Germany","Bremen, Germany",,,,33,,Luggage,,,European Goldfinches
126,2015,1-Mar-15,Birds,Jorge Chavez Airport,"Lima, Peru","Lima, Peru",,,,6,,Luggage,,,Toucans
127,2015,20-Apr-15,Birds,Los Angeles Airport,"Los Angeles, USA",,,"Los Angeles, USA",,27,,Luggage,,,Chinese Hwameis; Asian Songbirds
128,2015,19-Jun-15,Birds,Miami Airport,"Miami, USA",Brazil,,"Miami, USA",,5,,Airfreight,,,Bird Eggs
129,2015,2-Jul-15,Birds,Miami Airport,"Miami, USA",Cuba,,"Miami, USA",,3,,Luggage,,,Pigeons; Finches
130,2015,10-Sep-15,Birds,Simon Bolivar Airport,"Maiquetia, Venezuela","Maiquetia, Venezuela","Madrid, Spain","Rome, Italy",,57,Iberian Airlines,Luggage,,,Birds
131,2015,14-Sep-15,Birds,Shymkent Airport,"Shymkent, Kazakhstan","Shymkent, Kazakhstan",,"Dubai, UAE",,24,,Luggage,,,Saker Falcons
132,2015,28-Sep-15,Birds,Reynosa Airport,"Reynosa, Mexico","Reynosa, Mexico",,"Mexico City, Mexico",,10,,Airfreight,,,Golden blue macaws; Yellow Crested cockatoos; White-crested cockatoos
133,2015,22-Oct-15,Birds,Sao Paulo–Guarulhos Airport,"Sao Paulo, Brazil",Chile,"Sao Paulo, Brazil","Dubai, UAE",,4,,Unknown,,,Albino Perigrine Falcon Eggs
134,2015,31-Oct-15,Birds,Cheddi Jagan Airport,"Georgetown, Guyana","Georgetown, Guyana",,"New York, USA",,29,Caribbean Airlines,Luggage,,,Birds
135,2015,28-Nov-15,Birds,Sao Paulo–Guarulhos Airport,"Sao Paulo, Brazil",Italy,,"Sao Paulo, Brazil",,97,,Luggage,,,Canaries
136,2015,1-Nov-15,Birds,Sao Paulo–Guarulhos Airport,"Sao Paulo, Brazil","Sao Paulo, Brazil",,,,200,,Unknown,,,Parrots
137,2016,9-Jan-16,Birds,Miami Airport,"Miami, USA","Havana, Cuba",,"Miami, USA",,9,,Passenger Clothing/Items,,,Birds
138,2016,17-Jan-16,Birds,Jinnah Airport,"Karachi, Pakistan","Dubai, UAE",,"Karachi, Pakistan",,5,,Unknown,,,Falcons
139,2016,28-Jan-16,Birds,Ninoy Aquino Airport,"Manila, Philippines","Manila, Philippines",,Japan,,6,,Airfreight,,,"Eagle Owls, scops owls"
140,2016,18-Feb-16,Birds,Maastricht Aachen Airport,"Beek, Netherlands",,,Iraq,,142,,Unknown,Lack of authorization,,Birds
141,2016,25-Feb-16,Birds,Dallas/Fort Worth Airport,"Dallas, USA",Vietnam,,"Dallas, USA",,120,,Luggage,,Packed in rice hulls,Fertile Quail Eggs
142,2016,12-Apr-16,Birds,Tan Son Nhat Airport,"Ho Chi Minh City, Vietnam","Ho Chi Minh City, Vietnam",,Taiwan,,18,,Passenger Clothing/Items,,,White-rumped shamas; Oriental Shamas; Melodious Laughing thrushes
143,2016,27-Apr-16,Birds,Ibrahim Nasir Airport,"Maldives, Maldives","Bangkok, Thailand",,"Maldives, Maldives",,11,,Luggage,,,Green-Cheek Parakeets; Eagles; Birds
144,2016,27-Apr-16,Birds,Cheddi Jagan Airport,"Georgetown, Guyana","Georgetown, Guyana",,"New York, USA",,,,Luggage,,,Towa Towas
145,2016,28-Apr-16,Birds,Cheddi Jagan Airport,"Georgetown, Guyana","Georgetown, Guyana",,"Toronto, Canada",,,,Luggage,,,Towa Towas
146,2016,5-Jun-16,Birds,Ministro Pistarini Airport,"Buenos Aires, Argentina","Buenos Aires, Argentina",,"Madrid, Spain",,126,,Luggage,,,Red Crested Cardinals; Yellow-crested cardinals; Toucans
147,2009,9-Feb-09,Reptiles,Hong Kong Airport,"Hong Kong, China",Thailand,,"Hong Kong, China",,2,,Luggage,canine; intelligence,none; food boxes,Ploughshare Tortoises
148,2009,20-Feb-09,Reptiles,Sydney Airport,"Sydney, Australia","Sydney, Australia",,"Bangkok, Thailand",,44,,Luggage,X-ray,socks; cloth bags,Shingleback Lizards; bluetongue lizards; three Black-headed Pythons; albino Carpet Python
149,2009,1-Mar-09,Reptiles,,United Kingdom,USA,,,,26,,Unknown,,,Ball Pythons
150,2009,9-Jul-09,Reptiles,Kaohsiung Airport,"Kaohsiung, Taiwan",China,,"Kaohsiung, Taiwan",,1,,Luggage,,,Ploughshare Tortoises
151,2009,1-May-09,Reptiles,Ivato Airport,"Antananarivo, Madagascar","Antananarivo, Madagascar",,,,,,Unknown,,,Tortoises
152,2009,10-Sep-09,Reptiles,Charles de Gaulle Airport,"Paris, France","Niamey, Niger","Paris, France","Miami, USA",155,193,,Airfreight,,,Lizards
153,2009,29-Aug-09,Reptiles,Kaohsiung Airport,"Kaohsiung, Taiwan","Kaohsiung, Taiwan",,"Hong Kong, China",,1255,,Airfreight,,,Chinese Box Turtles
154,2009,10-Sep-09,Reptiles,Charles de Gaulle Airport,"Paris, France",Niger,"Paris, France","Florida, USA",,188,,Airfreight,Lack of paperwork,,Uromastyz Geyris Lizards
155,2009,11-Nov-09,Reptiles,Taiwan Taoyuan Airport,"Taipei, Taiwan",China,,"Taipei, Taiwan",,57,Air Macau,Luggage,,,Tortoises
156,2009,17-Nov-09,Reptiles,Los Angeles Airport,"Los Angeles, USA",Australia,,"Los Angeles, USA",,15,,Passenger - Clothing/Items,,,Skinks; Geckos; Lizards
157,2009,20-Nov-09,Reptiles,Taiwan Taoyuan Airport,"Taipei, Taiwan",China,,,,30,,Unknown,,,Tortoises
158,2009,6-Dec-09,Reptiles,Christchurch Airport,"Christchurch, New Zealand","Christchurch, New Zealand",,"Frankfurt, Germany",,44,,Passenger - Clothing/Items,Baggage search,"Hidden in baggage and a ""purpose-built body pack concealed in Kubus's underwear""",Sticky-Toed Geckos; skinks
159,2010,2-Mar-10,Reptiles,Soekarno-Hatta Airport,"Jakarta, Indonesia","Jakarta, Indonesia",,"Hong Kong, China",2200,4100,Cathay Pacific Flight,Airfreight,"""Two tons of fresh fruit"" alerted customs to unusual activity","Declared as ""fresh fruit"" cargo",Pig-Nosed Turtles; Indochinese Rattlesnakes
160,2010,3-Apr-10,Reptiles,Cayenne – Felix Eboue Airport,"Cayenne, French Guiana",,,,,44,,Unknown,intelligence,,Dyeing Dart Frogs
161,2010,14-May-10,Reptiles,Edmonton Airport,"Edmonton, Canada",United Kingdom,,"Edmonton, Canada",,3,,Luggage,canine,cardboard boxes,Spur-Thighed Tortoises
162,2010,23-May-10,Reptiles,Shahjalal Airport,"Dhaka, Bangladesh","Chennai, India","Dhaka, Bangladesh",Malaysia,,480,Malaysia Airlines,Luggage,,,Indian Star Tortoises
